 0 0 0 0
2002 1 1 1 1
2003 1 1 1 1
2004 1 1 1 1
2008 1 1 1 1
2009 1 1 1 1
2011 1 1 1 1
2016 1 1 1 1
2017 1 1 0 0
2020 1 1 1 1
2021 1 1 1 1
2023 0 1 1 1
2025 1 1 1 1
2028 1 1 0 0
2029 1 1 1 1
2030 1 1 1 1
2040 1 1 0 0
2044 1 1 0 0
2045 1 1 0 0
2046 1 1 0 0
2047 1 1 1 1
2050 1 1 1 1
2051 1 1 1 1
2054 1 1 1 1
2055 1 1 1 1
2056 1 1 1 1
2058 1 1 0 1
2059 1 1 1 1
2061 1 1 1 1
2062 1 1 1 1
2065 1 1 1 1
2067 0 0 1 1
2068 1 1 1 1
2069 0 0 1 1
2073 0 0 1 1
2074 1 1 1 1
2075 1 1 1 1
2077 1 1 0 0
2079 1 1 1 1
2081 1 1 1 1
2082 1 1 1 1
2083 1 1 1 1
2088 1 1 1 1
2089 1 1 1 1
2090 1 1 1 1
2091 1 1 1 1
2092 1 1 0 0
2095 1 1 1 1
2098 0 1 1 1
2099 1 1 1 1
2100 1 1 1 1
2101 1 1 1 1
2102 1 1 0 0
2103 1 1 1 1
2106 1 1 1 1
2107 1 1 1 1
2108 1 1 0 0
2110 1 1 1 1
2112 1 1 0 0
2114 1 1 0 0
2116 1 1 0 0
2119 1 1 0 0
2120 1 1 1 1
2121 1 1 1 1
2122 1 1 1 1
2125 1 1 1 1
2126 1 1 1 1
2127 1 1 0 0
2130 1 1 0 0
2131 1 1 1 1
2133 1 1 0 0
2134 1 1 1 1
2139 1 1 0 0
2142 1 1 1 1
2143 1 1 1 1
2147 0 0 0 0
2153 1 1 1 1
2154 1 1 1 1
2155 1 1 0 0
2157 1 1 1 1
2158 1 1 1 1
2162 1 1 1 1
2163 1 1 1 1
2165 1 1 1 1
2168 1 1 1 1
2173 1 1 1 1
2178 0 0 0 0
2183 1 1 0 0
2188 1 1 0 0
2189 1 1 0 0
2194 1 1 0 0
2197 1 1 0 0
2207 1 1 1 1
2221 1 1 1 1
2224 1 1 0 0
2225 1 1 1 1
2227 1 1 0 0
2229 1 1 1 1
2230 1 1 1 1
2231 1 1 1 1
2235 1 0 0 0
2237 1 1 1 1
2238 1 1 1 1
2244 1 1 0 0
2245 1 1 1 1
2246 1 1 1 1
2248 1 1 1 1
2252 1 1 0 0
2256 1 1 1 1
2260 1 1 0 0
2261 1 1 1 1
2264 1 1 0 0
2265 1 1 1 1
2270 1 1 1 1
2271 1 1 1 0
2273 1 1 1 1
2279 1 1 1 1
2283 1 1 1 0
2284 1 1 1 1
2285 1 1 1 1
2287 1 1 1 1
2292 1 1 1 1
2293 1 1 1 1
2295 1 1 1 1
2296 1 1 1 1
2298 1 1 1 1
2299 0 1 1 1
2303 1 0 0 0
2306 1 1 1 1
2307 1 1 1 1
2308 1 1 1 1
2309 1 1 0 0
2310 1 1 1 1
2317 1 1 1 1
2320 1 0 1 1
2322 1 1 0 0
2325 1 1 1 1
2326 1 1 1 1
2327 1 1 1 1
2333 1 1 0 0
2340 1 1 0 0
2342 1 1 0 0
2345 1 1 0 0
2346 1 1 0 0
2349 1 1 1 1
2350 1 1 0 0
2351 1 1 1 1
2352 1 1 1 1
2353 1 1 1 1
2354 1 1 1 1
2363 1 1 1 1
2367 1 1 0 0
2377 1 1 1 1
2386 1 1 1 1
2387 1 1 1 1
2393 1 1 1 1
2396 1 1 1 1
2399 1 1 0 0
2400 1 1 1 1
2406 0 0 1 1
2411 1 1 0 0
2412 1 1 0 0
2413 1 1 0 0
2414 1 1 1 1
2415 1 1 1 1
2417 0 0 0 0
2419 1 1 1 1
2420 1 1 0 1
2423 0 0 0 0
2424 1 1 1 1
2427 1 1 1 1
2428 1 1 1 1
2433 1 1 1 1
2441 1 1 1 1
2443 1 1 1 1
4000 0 0 0 0
 0 0 0 0
